,월별_증감률(%)
2024.07→2024.08,-6.825793418744351
2024.08→2024.09,-12.323843213328008
2024.09→2024.10,27.227175115507258
2024.10→2024.11,-4.961383049460386
2024.11→2024.12,21.19369248156719
